start_date;trunk;prefix;mobile;country;tariff;blocked;seconds_allowed;description;cli_a
2022-02-15 14:30:55.477103;ARIA;93;N;AF;0.1643;N;Y;Afghanistan;
2022-02-15 14:30:55.477103;ARIA;9375;Y;AF;0.1583;N;Y;Afghanistan - Mobile - AT;
2022-02-15 14:30:55.477103;ARIA;9370;Y;AF;0.13;N;Y;Afghanistan - Mobile - AWCC;
2022-02-15 14:30:55.477103;ARIA;9371;Y;AF;0.13;N;Y;Afghanistan - Mobile - AWCC;
2022-02-15 14:30:55.477103;ARIA;9378;Y;AF;0.098;N;Y;Afghanistan - Mobile - Etisalat;
2022-02-15 14:30:55.477103;ARIA;9373;Y;AF;0.098;N;Y;Afghanistan - Mobile - Etisalat;
2022-02-15 14:30:55.477103;ARIA;9377;Y;AF;0.0943;N;Y;Afghanistan - Mobile - MTN;
2022-02-15 14:30:55.477103;ARIA;9376;Y;AF;0.0943;N;Y;Afghanistan - Mobile - MTN;
2022-02-15 14:30:55.477103;ARIA;9372;Y;AF;0.0974;N;Y;Afghanistan - Mobile - Roshan;
2022-02-15 14:30:55.477103;ARIA;9379;Y;AF;0.0974;N;Y;Afghanistan - Mobile - Roshan;
2022-02-15 14:30:55.477103;ARIA;9374;Y;AF;0.126;N;Y;Afghanistan - Mobile - Salaam;
2022-02-15 14:30:55.477103;ARIA;355;N;AL;0.1337;N;N;Albania;
2022-02-15 14:30:55.477103;ARIA;3555;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35572;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;3558;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35549;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35546;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35526;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35527;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35524;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35522;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35521;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35528;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35529;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35547;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;35548;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;3553;N;AL;0.1337;N;N;Albania - AMC;
2022-02-15 14:30:55.477103;ARIA;355450;N;AL;0.3897;Y;N;Albania - Centralcom PRS;
2022-02-15 14:30:55.477103;ARIA;35568;Y;AL;0.3264;N;N;Albania - Mobile - AMC;
2022-02-15 14:30:55.477103;ARIA;35567;Y;AL;0.3474;N;N;Albania - Mobile - Eagle;
2022-02-15 14:30:55.477103;ARIA;35566;Y;AL;0.3589;N;N;Albania - Mobile - Plus;
2022-02-15 14:30:55.477103;ARIA;35569;Y;AL;0.3411;N;N;Albania - Mobile - Vodafone;
2022-02-15 14:30:55.477103;ARIA;35567890;N;AL;0.3474;Y;N;Albania - Special Service;
2022-02-15 14:30:55.477103;ARIA;355423;N;AL;0.1337;N;N;Albania - Tirane;
2022-02-15 14:30:55.477103;ARIA;355422;N;AL;0.1337;N;N;Albania - Tirane;
2022-02-15 14:30:55.477103;ARIA;355424;N;AL;0.1337;N;N;Albania - Tirane;
2022-02-15 14:30:55.477103;ARIA;213;N;DZ;0.0533;N;N;Algeria;
2022-02-15 14:30:55.477103;ARIA;21320;N;DZ;0.0524;N;N;Algeria - Alger;
2022-02-15 14:30:55.477103;ARIA;21322;N;DZ;0.0524;N;N;Algeria - Alger;
2022-02-15 14:30:55.477103;ARIA;21321;N;DZ;0.0524;N;N;Algeria - Alger;
2022-02-15 14:30:55.477103;ARIA;2131;N;DZ;0.0524;N;N;Algeria - CAT Fixed;
2022-02-15 14:30:55.477103;ARIA;2136;Y;DZ;0.642;N;N;Algeria - Mobile - Mobilis;
2022-02-15 14:30:55.477103;ARIA;21378;Y;DZ;0.6872;Y;N;Algeria - Mobile - Orascom;
2022-02-15 14:30:55.477103;ARIA;21379;Y;DZ;0.6872;Y;N;Algeria - Mobile - Orascom;
2022-02-15 14:30:55.477103;ARIA;21377;Y;DZ;0.6872;Y;N;Algeria - Mobile - Orascom;
2022-02-15 14:30:55.477103;ARIA;2139;Y;DZ;0.2766;N;N;Algeria - Mobile - Other;
2022-02-15 14:30:55.477103;ARIA;2135;Y;DZ;0.5141;N;N;Algeria - Mobile - Wataniya;
2022-02-15 14:30:55.477103;ARIA;1684;N;AS;0.0377;N;Y;American Samoa;
2022-02-15 14:30:55.477103;ARIA;376;N;AD;0.027;N;Y;Andorra;
2022-02-15 14:30:55.477103;ARIA;3766;Y;AD;0.1916;N;Y;Andorra - Mobile;
