start_date;trunk;prefix;mobile;country;tariff;blocked;seconds_allowed;description;cli_a
2022-03-02 10:15:57.281132;WAVECREST;93;N;AF;0.3291;Y;Y;Afghanistan;
2022-03-02 10:15:57.281132;WAVECREST;9320;N;AF;0.25;N;Y;Afghanistan - Kabul;
2022-03-02 10:15:57.281132;WAVECREST;9376;Y;AF;0.1099;N;Y;Afghanistan - Mobile - Areeba;
2022-03-02 10:15:57.281132;WAVECREST;9377;Y;AF;0.1099;N;Y;Afghanistan - Mobile - Areeba;
2022-03-02 10:15:57.281132;WAVECREST;9375;Y;AF;0.1867;N;Y;Afghanistan - Mobile - AT;
2022-03-02 10:15:57.281132;WAVECREST;9370;Y;AF;0.1867;N;Y;Afghanistan - Mobile - AWC;
2022-03-02 10:15:57.281132;WAVECREST;9371;Y;AF;0.1867;N;Y;Afghanistan - Mobile - AWC;
2022-03-02 10:15:57.281132;WAVECREST;9378;Y;AF;0.1867;N;Y;Afghanistan - Mobile - Etisalat;
2022-03-02 10:15:57.281132;WAVECREST;937;Y;AF;0.1881;N;Y;Afghanistan - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;9372;Y;AF;0.1867;N;Y;Afghanistan - Mobile - Roshan;
2022-03-02 10:15:57.281132;WAVECREST;9379;Y;AF;0.1867;N;Y;Afghanistan - Mobile - Roshan;
2022-03-02 10:15:57.281132;WAVECREST;9374;Y;AF;0.1867;N;Y;Afghanistan - Mobile - Salaam;
2022-03-02 10:15:57.281132;WAVECREST;355;N;AL;0.1512;N;N;Albania;
2022-03-02 10:15:57.281132;WAVECREST;3554249;N;AL;0.1268;N;N;Albania - FOLO;
2022-03-02 10:15:57.281132;WAVECREST;3554250;N;AL;0.1268;N;N;Albania - FOLO;
2022-03-02 10:15:57.281132;WAVECREST;3554251;N;AL;0.1268;N;N;Albania - FOLO;
2022-03-02 10:15:57.281132;WAVECREST;3554252;N;AL;0.1268;N;N;Albania - FOLO;
2022-03-02 10:15:57.281132;WAVECREST;35568;Y;AL;0.3497;N;N;Albania - Mobile - AMC;
2022-03-02 10:15:57.281132;WAVECREST;35567;Y;AL;0.3583;N;N;Albania - Mobile - Eagle;
2022-03-02 10:15:57.281132;WAVECREST;35566;Y;AL;0.1214;N;N;Albania - Mobile - Plus;
2022-03-02 10:15:57.281132;WAVECREST;35569;Y;AL;0.3195;N;N;Albania - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;3554;N;AL;0.1423;N;N;Albania - Tirana;
2022-03-02 10:15:57.281132;WAVECREST;213;N;DZ;0.0537;N;Y;Algeria;
2022-03-02 10:15:57.281132;WAVECREST;21321;N;DZ;0.0533;N;Y;Algeria - Algiers;
2022-03-02 10:15:57.281132;WAVECREST;2131;N;DZ;0.0498;N;Y;Algeria - Fixed - CAT;
2022-03-02 10:15:57.281132;WAVECREST;2137;Y;DZ;0.6392;N;N;Algeria - Mobile - Djezzy;
2022-03-02 10:15:57.281132;WAVECREST;21377;Y;DZ;0.6392;N;N;Algeria - Mobile - Djezzy;
2022-03-02 10:15:57.281132;WAVECREST;21378;Y;DZ;0.6392;N;N;Algeria - Mobile - Djezzy;
2022-03-02 10:15:57.281132;WAVECREST;21379;Y;DZ;0.6392;N;N;Algeria - Mobile - Djezzy;
2022-03-02 10:15:57.281132;WAVECREST;21365;Y;DZ;0.7558;Y;N;Algeria - Mobile - Mobilis;
2022-03-02 10:15:57.281132;WAVECREST;21366;Y;DZ;0.7558;Y;N;Algeria - Mobile - Mobilis;
2022-03-02 10:15:57.281132;WAVECREST;21367;Y;DZ;0.7558;Y;N;Algeria - Mobile - Mobilis;
2022-03-02 10:15:57.281132;WAVECREST;21368;Y;DZ;0.7558;Y;N;Algeria - Mobile - Mobilis;
2022-03-02 10:15:57.281132;WAVECREST;21369;Y;DZ;0.7558;Y;N;Algeria - Mobile - Mobilis;
2022-03-02 10:15:57.281132;WAVECREST;2135;Y;DZ;0.4694;N;N;Algeria - Mobile - Ooredoo;
2022-03-02 10:15:57.281132;WAVECREST;2136;Y;DZ;0.5822;N;N;Algeria - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;21396190;Y;DZ;0.5822;N;N;Algeria - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;21396191;Y;DZ;0.5822;N;N;Algeria - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;21396192;Y;DZ;0.5822;N;N;Algeria - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;376;N;AD;0.0241;N;Y;Andorra;
2022-03-02 10:15:57.281132;WAVECREST;3763;Y;AD;0.1655;N;Y;Andorra - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;3764;Y;AD;0.1655;N;Y;Andorra - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;3765;Y;AD;0.1655;N;Y;Andorra - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;3766;Y;AD;0.1655;N;Y;Andorra - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;244;N;AO;0.084;Y;Y;Angola;
2022-03-02 10:15:57.281132;WAVECREST;2449;Y;AO;0.0462;N;Y;Angola - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;24491;Y;AO;0.1584;N;Y;Angola - Mobile - Movicel;
2022-03-02 10:15:57.281132;WAVECREST;24499;Y;AO;0.1584;N;Y;Angola - Mobile - Movicel;
2022-03-02 10:15:57.281132;WAVECREST;24492;Y;AO;0.1316;N;Y;Angola - Mobile - Unitel;
2022-03-02 10:15:57.281132;WAVECREST;24493;Y;AO;0.1316;N;Y;Angola - Mobile - Unitel;
2022-03-02 10:15:57.281132;WAVECREST;24494;Y;AO;0.1316;N;Y;Angola - Mobile - Unitel;
2022-03-02 10:15:57.281132;WAVECREST;1264;N;AI;0.1546;N;Y;Anguilla;
2022-03-02 10:15:57.281132;WAVECREST;1264235;Y;AI;0.1756;N;Y;Anguilla - Mobile - CW;
2022-03-02 10:15:57.281132;WAVECREST;1264469;Y;AI;0.1756;N;Y;Anguilla - Mobile - CW;
2022-03-02 10:15:57.281132;WAVECREST;1264476;Y;AI;0.1756;N;Y;Anguilla - Mobile - CW;
2022-03-02 10:15:57.281132;WAVECREST;1264729;Y;AI;0.1756;N;Y;Anguilla - Mobile - CW;
2022-03-02 10:15:57.281132;WAVECREST;1264772;Y;AI;0.1756;N;Y;Anguilla - Mobile - CW;
2022-03-02 10:15:57.281132;WAVECREST;1264581;Y;AI;0.1584;N;Y;Anguilla - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1264582;Y;AI;0.1584;N;Y;Anguilla - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1264583;Y;AI;0.1584;N;Y;Anguilla - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1264584;Y;AI;0.1584;N;Y;Anguilla - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1264536;Y;AI;0.1756;N;Y;Anguilla - Mobile - Weblinks;
2022-03-02 10:15:57.281132;WAVECREST;1264537;Y;AI;0.1756;N;Y;Anguilla - Mobile - Weblinks;
2022-03-02 10:15:57.281132;WAVECREST;1264538;Y;AI;0.1756;N;Y;Anguilla - Mobile - Weblinks;
2022-03-02 10:15:57.281132;WAVECREST;1264539;Y;AI;0.1756;N;Y;Anguilla - Mobile - Weblinks;
2022-03-02 10:15:57.281132;WAVECREST;1264543;Y;AI;0.1756;N;Y;Anguilla - Mobile - Weblinks;
2022-03-02 10:15:57.281132;WAVECREST;672;N;AQ;1.8525;Y;N;Antarctica;
2022-03-02 10:15:57.281132;WAVECREST;1268;N;AG;0.1514;N;Y;Antigua & Barbuda;
2022-03-02 10:15:57.281132;WAVECREST;1268720;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268721;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268722;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268724;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268725;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268726;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268783;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268785;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268788;Y;AG;0.149;N;Y;Antigua & Barbuda - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;1268464;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268716;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268717;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268718;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268719;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;126872;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268732;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268734;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268736;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268764;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268770;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268771;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268772;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268773;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268774;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268775;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268776;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268778;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268779;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268780;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268781;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268782;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268784;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268786;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;1268789;Y;AG;0.1815;N;Y;Antigua & Barbuda - Mobile - Other;
2022-03-02 10:15:57.281132;WAVECREST;54;N;AR;0.0127;N;Y;Argentina;
2022-03-02 10:15:57.281132;WAVECREST;5411;N;AR;0.1067;Y;Y;Argentina - Buenos Aires;
2022-03-02 10:15:57.281132;WAVECREST;54351;N;AR;0.1067;Y;Y;Argentina - Cordoba;
2022-03-02 10:15:57.281132;WAVECREST;54261;N;AR;0.1067;Y;Y;Argentina - Mendoza;
2022-03-02 10:15:57.281132;WAVECREST;549;Y;AR;0.1618;N;Y;Argentina - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;374;N;AM;0.1957;N;Y;Armenia;
2022-03-02 10:15:57.281132;WAVECREST;3749;Y;AM;0.1479;N;Y;Armenia - Mobile;
2022-03-02 10:15:57.281132;WAVECREST;37443;Y;AM;0.1756;N;Y;Armenia - Mobile - Armentel;
2022-03-02 10:15:57.281132;WAVECREST;37491;Y;AM;0.1756;N;Y;Armenia - Mobile - Armentel;
2022-03-02 10:15:57.281132;WAVECREST;37496;Y;AM;0.1756;N;Y;Armenia - Mobile - Armentel;
2022-03-02 10:15:57.281132;WAVECREST;37499;Y;AM;0.1756;N;Y;Armenia - Mobile - Armentel;
2022-03-02 10:15:57.281132;WAVECREST;37497;Y;AM;0.17;N;Y;Armenia - Mobile - Karabakh;
2022-03-02 10:15:57.281132;WAVECREST;37441;Y;AM;0.1683;N;Y;Armenia - Mobile - Orange;
2022-03-02 10:15:57.281132;WAVECREST;37444;Y;AM;0.1683;N;Y;Armenia - Mobile - Orange;
2022-03-02 10:15:57.281132;WAVECREST;37455;Y;AM;0.1683;N;Y;Armenia - Mobile - Orange;
2022-03-02 10:15:57.281132;WAVECREST;37495;Y;AM;0.1683;N;Y;Armenia - Mobile - Orange;
2022-03-02 10:15:57.281132;WAVECREST;37449;Y;AM;0.1694;N;Y;Armenia - Mobile - Vivacell;
2022-03-02 10:15:57.281132;WAVECREST;37477;Y;AM;0.1694;N;Y;Armenia - Mobile - Vivacell;
2022-03-02 10:15:57.281132;WAVECREST;37493;Y;AM;0.1694;N;Y;Armenia - Mobile - Vivacell;
2022-03-02 10:15:57.281132;WAVECREST;37494;Y;AM;0.1694;N;Y;Armenia - Mobile - Vivacell;
2022-03-02 10:15:57.281132;WAVECREST;37498;Y;AM;0.1694;N;Y;Armenia - Mobile - Vivacell;
2022-03-02 10:15:57.281132;WAVECREST;37447;N;AM;0.1601;N;Y;Armenia - Nagorny Karabakh;
2022-03-02 10:15:57.281132;WAVECREST;37410;N;AM;0.1353;N;Y;Armenia - Yerevan;
2022-03-02 10:15:57.281132;WAVECREST;297;N;AW;0.167;Y;Y;Aruba;
2022-03-02 10:15:57.281132;WAVECREST;29763;Y;AW;0.167;N;Y;Aruba - Mobile - Digicel;
2022-03-02 10:15:57.281132;WAVECREST;29764;Y;AW;0.167;N;Y;Aruba - Mobile - Digicel;
